text,created_at,sentiment
"Hello Web3! We are hiring for the following positions:  

• Beta-tester
• Developer(Rust, Python, C+)
• UX/UI Designer 
• NFT actors
• Community Manager
• Marketing Specialist

If you have experience in any of these roles, let’s connect",2024-12-04 17:23:01+00:00,0
"Hello Web3! We are hiring for the following positions:  

• Beta-tester
• Developer(Rust, Python, C+)
• UX/UI Designer 
• NFT actors
• Community Manager
• Marketing Specialist

If you have experience in any of these roles, let’s connect",2024-12-04 17:22:53+00:00,0
RT @PyconTanzania: The 5th annual #PyCon #Tanzania Conference started with a special keynote by Prof. Baraka @MaiseliBaraka who delivered t…,2024-12-04 17:22:50+00:00,0.357142857
@jonesangga_ cool! I am still stuck in the part 2 🫡 (python),2024-12-04 17:22:48+00:00,0.4375
"Hello Web3! We are hiring for the following positions:  

• Beta-tester
• Developer(Rust, Python, C+)
• UX/UI Designer 
• NFT actors
• Community Manager
• Marketing Specialist

If you have experience in any of these roles, let’s connect",2024-12-04 17:22:46+00:00,0
"RT @Phython_xianmax: @CryptoArchieYT $XIAN has to be my Top 1.

$Xian is the only solution which enables developing &amp; deploying smart contr…",2024-12-04 17:22:46+00:00,0.238095238
@yu_angela @udemy Congrats! Took your Python course last year—amazing teaching! 🐍💻,2024-12-04 17:22:43+00:00,0
"I made a redis prototype in python :)
https://t.co/b47dSK7oIN",2024-12-04 17:22:37+00:00,0.5
"Hello Web3! We are hiring for the following positions:  

• Beta-tester
• Developer(Rust, Python, C+)
• UX/UI Designer 
• NFT actors
• Community Manager
• Marketing Specialist

If you have experience in any of these roles, let’s connect",2024-12-04 17:22:37+00:00,0
"Reach us for:
calculus pay
✓Finance pay
physics pay
fall classes
✓essay pay
chem pay
stats pay
✓maths pay
biology pay
✓pay someone.
pay to do programming 
assignment due
WhatsApp 
https://t.co/zXAESqy8yJ

#HTML  #CSS #javascript #programming #code #coding #python #Java… https://t.co/CgSNf5mbo4 https://t.co/eAZOQMNQUk",2024-12-04 17:22:35+00:00,-0.125
RT @clcoding: Voice Recorder in Python https://t.co/nAIo0z538e,2024-12-04 17:22:33+00:00,0
RT @LukeYoungblood: This is super useful for many crypto projects that use Typescript instead of Python. We can't all be AI/ML devs (their…,2024-12-04 17:22:31+00:00,0.377777778
RT @hive_echo: I build an Auto Coder which controls Cursor Composer Agent automatically. it is a simple python script. No AI or Computer us…,2024-12-04 17:22:18+00:00,0
"RT @mrasc0: VAGA PARA DEV FULLSTACK JUNIOR!!!

- Superior completo;
- Front-end React;
- Back-end (como Python, Java, Node.js);
- Conhecime…",2024-12-04 17:22:09+00:00,0.7
"RT @PyconTanzania: We had a talk on ""Building Resilient Communities Using Django: A Case Study of AIRS and Green World Campaign""

📅 Date: W…",2024-12-04 17:21:55+00:00,-0.2
